id,group,source,approved,review,sentence_en,sentence_pt
tarantola1984,fundamentals,abstract,yes,Least-squares inversion of seismic reflection data with iterative source/residual correlation: the founding FWI method.,"Solves the nonlinear seismic inverse problem by least squares; each iteration correlates the forward-propagated source field with the back-propagated data residuals, the idea behind the adjoint-state gradient.","Resolve o problema inverso sísmico não linear por mínimos quadrados; cada iteração correlaciona o campo da fonte propagado para frente com os resíduos propagados para trás, a ideia por trás do gradiente pelo estado adjunto."
virieux2009,fundamentals,abstract,yes,"Overview of FWI methods: forward modeling, gradient/Hessian, multiscale strategies.","A broad overview of FWI: forward modeling, gradient and Hessian estimation, and why local optimization can end in local minima (poor starting models, missing low frequencies, noise).","Uma visão geral ampla do FWI: modelagem direta, estimativa do gradiente e da Hessiana, e por que a otimização local pode terminar em mínimos locais (modelos iniciais ruins, falta de baixas frequências, ruído)."
bunks1995,cycle-skipping,abstract,yes,Multiscale (multigrid) strategy for seismic waveform inversion.,"Shows on the Marmousi model that decomposing the inversion by scale, starting from long wavelengths where local minima are fewer and farther apart, greatly improves convergence.","Mostra no modelo Marmousi que decompor a inversão por escala, começando por comprimentos de onda longos, onde os mínimos locais são menos numerosos e mais afastados, melhora muito a convergência."
warner2016,cycle-skipping,abstract,yes,"Adaptive waveform inversion, a new FWI formulation against cycle skipping.","Adaptive waveform inversion: instead of differencing waveforms, it designs filters that map predicted to observed data and drives them toward zero-lag deltas, a formulation meant to avoid cycle-skipping.","Adaptive waveform inversion: em vez de subtrair formas de onda, projeta filtros que levam os dados previstos aos observados e os força a virar deltas em lag zero, uma formulação pensada para evitar o cycle-skipping."
engquist2022,cycle-skipping,abstract,yes,Optimal-transport misfit for FWI.,"Uses the Wasserstein distance from optimal transport as the misfit, with a sharper convexity result, and discusses how to normalize seismic signals so the theory applies.","Usa a distância de Wasserstein, do transporte ótimo, como misfit, com um resultado de convexidade mais forte, e discute como normalizar sinais sísmicos para que a teoria se aplique."
sun2022mlmisfit,cycle-skipping,abstract,yes,Learned misfit function for FWI.,Learns the misfit function itself: a neural network trained by meta-learning (running FWI on random models) to compare predicted and observed data robustly to cycle-skipping.,Aprende a própria função de misfit: uma rede neural treinada por meta-aprendizado (rodando FWI em modelos aleatórios) para comparar dados previstos e observados de forma robusta ao cycle-skipping.
saad2026siamesefit,cycle-skipping,abstract,yes,Learned (Siamese) misfit for FWI.,"A self-supervised Siamese network compares observed and simulated data in a learned latent space, aimed at starting models whose data are more than half a cycle off.","Uma rede siamesa autossupervisionada compara dados observados e simulados num espaço latente aprendido, pensada para modelos iniciais cujos dados erram por mais de meio ciclo."
operto2013,multiparameter,abstract,yes,Multiparameter FWI methodology and crosstalk.,"A guided tour of multiparameter FWI (P- and S-wave velocities, density, attenuation, anisotropy), explaining crosstalk between parameters and why scaling matters.","Um roteiro guiado do FWI multiparâmetro (velocidades P e S, densidade, atenuação, anisotropia), explicando o crosstalk entre parâmetros e por que o escalonamento importa."
keating2020,multiparameter,abstract,yes,Numerical assessment of crosstalk in viscoelastic FWI.,"Introduces a numerical way to assess crosstalk in viscoelastic FWI, including leakage between unknowns far apart in space, which point-scatterer analysis misses.","Introduz uma forma numérica de avaliar o crosstalk no FWI viscoelástico, incluindo o vazamento entre incógnitas distantes no espaço, que a análise por espalhadores pontuais não capta."
huo2026cnnmmi,multiparameter,abstract,yes,Self-supervised multiparameter FWI framework.,"Uses three separate self-supervised networks for P-wave velocity, S-wave velocity and density to cut crosstalk pathways, combined with a low-to-high frequency workflow; applied to marine data.","Usa três redes autossupervisionadas separadas para velocidade P, velocidade S e densidade, cortando os caminhos de crosstalk, combinadas com um fluxo de baixa para alta frequência; aplicado a dados marinhos."
